yourlist:M2021061492C7BAECDB1C5C413EE0E0348724B68206ED2EH	Entry
PRKCZ	D6RGG1
PRKCZ	D6RJG4
PRKCZ	E9PBE1
PRKCZ	F2Z2H9
PRKCZ	F2Z3C5
PRKCZ	J3KRP7
PRXL2B	Q8TBF2
PRXL2B	A0A0A0MRV4
PRXL2B	A0A0A0MT35
PRXL2B	A0A0G2JRR6
PRXL2B	A0A0G2JSF1
PRXL2B	A0A2P0CTB1
PRXL2B	A0A2P0CTH9
PRXL2B	A0A2P0CU24
PRXL2B	J3KPF5
PRXL2B	J3KPF6
PRXL2B	J3KRV9
PRXL2B	J3QKK8
PUSL1	Q8N0Z8
PUSL1	J3KTG4
RAP1GAP	P47736
RAP1GAP	A0A0A0MQY8
RAP1GAP	A0A0B6XK13
RAP1GAP	F2Z357
RAP1GAP	J3KPC5
RAP1GAP	Q49AP2
RAP1GAP	Q5T3T0
RAP1GAP	Q5T3T1
RAP1GAP	X6R8W7
RBP7	Q96R05
RBP7	B1AQ60
RBP7	Q8N4L3
RCAN3	Q9UKA8
RCAN3	C8CJH0
RCAN3	H0YF64
RCAN3AS	E3W6F2
RCC2	Q9P258
RCC2	A0A024RAC5
RCC2	A5PLK7
RER1	O15258
RER1	A0A0A0MR06
RER1	Q5T091
RER1	Q5T092
RER1	Q5T093
RER1	Q5T094
RER1	Q6IBJ7
RER1	Q9P0H9
RERE	Q9P2R6
RERE	A0A075B770
RERE	A0A590UJ84
RERE	A0A590UK57
RERE	B1AKN3
RERE	D6RA28
RERE	H0Y975
RERE	H7BYW9
RERE	K7EIE3
RERE	K7EIQ4
RERE	K7EJQ1
RHCE	P18577
RHCE	A0A024RAE0
RHCE	A0A078BQE0
RHCE	A0A078N0E5
RHCE	A0A089VLV6
RHCE	A0A0A1TJL4
RHCE	A0A0A1TSH2
RHCE	A0A0A1TST6
RHCE	A0A0A8WG26
RHCE	A0A0B5J448
RHCE	A0A0B5J454
RHCE	A0A0B5J8H8
RHCE	A0A0B5JDI7
RHCE	A0A0B5JDJ1
RHCE	A0A0B5JG23
RHCE	A0A0B5JG27
RHCE	A0A0B5JJ59
RHCE	A0A0B5JJ63
RHCE	A0A0C5D5W6
RHCE	A0A0D3QSK8
RHCE	A0A0D4CYF4
RHCE	A0A0D4CYF7
RHCE	A0A0D4CYJ1
RHCE	A0A0D4CZ13
RHCE	A0A0D4CZD8
RHCE	A0A0F6SIH4
RHCE	A0A0K0QTI0
RHCE	A0A0M3TH49
RHCE	A0A165EL66
RHCE	A0A168DYW6
RHCE	A0A172WCC1
RHCE	A0A193DUE3
RHCE	A0A193L2X7
RHCE	A0A193L2Z1
RHCE	A0A1A9C7S9
RHCE	A0A1A9C8V1
RHCE	A0A1A9C8V4
RHCE	A0A1B1R109
RHCE	A0A1B3B500
RHCE	A0A1C9UZX1
RHCE	A0A1J0MS72
RHCE	A0A1J0MS73
RHCE	A0A1J0MS77
RHCE	A0A1J0MS79
RHCE	A0A1J0MS89
RHCE	A0A1J0MS92
RHCE	A0A1J0MSA1
RHCE	A0A1L3H050
RHCE	A0A1L3H051
RHCE	A0A1L3H052
RHCE	A0A1L3H053
RHCE	A0A1L3H054
RHCE	A0A1L3H055
RHCE	A0A1L3H056
RHCE	A0A1L3H057
RHCE	A0A1L3H058
RHCE	A0A1L3H059
RHCE	A0A1L3H063
RHCE	A0A1L3H064
RHCE	A0A1L3H069
RHCE	A0A1L3H070
RHCE	A0A1L3H075
RHCE	A0A1L3H076
RHCE	A0A1L3HDU9
RHCE	A0A1L3HDV9
RHCE	A0A1L3HDW5
RHCE	A0A1L3HDW7
RHCE	A0A1L3HDW8
RHCE	A0A1L3HDX5
RHCE	A0A1L3HDY3
RHCE	A0A1L3HDY4
RHCE	A0A1L3HDY7
RHCE	A0A1L3HDY8
RHCE	A0A1P8P1S9
RHCE	A0A1P8P1T4
RHCE	A0A1P8P1T6
RHCE	A0A1S6GMZ6
RHCE	A0A1S6GN05
RHCE	A0A1S6GN06
RHCE	A0A1S6GNA3
RHCE	A0A1S6GNA7
RHCE	A0A1S6GNA8
RHCE	A0A1S6GNB3
RHCE	A0A1S6GNB6
RHCE	A0A1S6GNB8
RHCE	A0A1S6GND7
RHCE	A0A1S6GNE8
RHCE	A0A1U9WYQ7
RHCE	A0A1U9WYT1
RHCE	A0A1Z1VMX2
RHCE	A0A1Z1VNI8
RHCE	A0A1Z2THK2
RHCE	A0A220QMM7
RHCE	A0A220QMN8
RHCE	A0A221C5U0
RHCE	A0A290WK19
RHCE	A0A290WK21
RHCE	A0A290WK23
RHCE	A0A2D1LVN6
RHCE	A0A2D3HXS0
RHCE	A0A345IT86
RHCE	A0A346FYP8
RHCE	A0A346RV52
RHCE	A0A3B1DJF4
RHCE	A0A3B1E1J6
RHCE	A0A3B1E7J7
RHCE	A0A3G2LNM6
RHCE	A0A3S5XGB6
RHCE	A0A4P8PLN1
RHCE	A0A5B8IM05
RHCE	A0A6G6A2X6
RHCE	A0A6G9KTK1
RHCE	A0A7G9IPL3
RHCE	A0A7G9IPL4
RHCE	A0A7G9IPL5
RHCE	A0A7G9IPL6
RHCE	A0A7G9IPL8
RHCE	A0A7G9KWD2
RHCE	A0A7G9KWD5
RHCE	A0A7G9KWD7
RHCE	A0A7H1D323
RHCE	A0A7H1D324
RHCE	A0A7H1D325
RHCE	A0A7H1D326
RHCE	A0A7H1DHN4
RHCE	A0A7H1DHN6
RHCE	A0A7H1DHN7
RHCE	A0PFK1
RHCE	A0ZXY7
RHCE	A4VAS3
RHCE	A8YPG3
RHCE	B3CL46
RHCE	B3CL47
RHCE	B3CL48
RHCE	B6ZCF5
RHCE	B6ZCF8
RHCE	B6ZCG0
RHCE	B6ZCG1
RHCE	D0AB03
RHCE	D0AB04
RHCE	D4P3E5
RHCE	D5L848
RHCE	E1Y3Y3
RHCE	E1Y3Y4
RHCE	E1Y3Y5
RHCE	E7EQ47
RHCE	E7EU00
RHCE	E9PKB3
RHCE	F6XSS0
RHCE	G0TQY4
RHCE	G0TQY5
RHCE	G1AUC3
RHCE	H0YCJ8
RHCE	I7ITT0
RHCE	I7L128
RHCE	J9ZZ22
RHCE	J9ZZ26
RHCE	J9ZZ28
RHCE	J9ZZ64
RHCE	J9ZZ69
RHCE	J9ZZE7
RHCE	J9ZZF1
RHCE	K0A0Q6
RHCE	K0A0R1
RHCE	K0A0R6
RHCE	K0A0T3
RHCE	K0A0T9
RHCE	K9JHF5
RHCE	K9JHF7
RHCE	K9JI17
RHCE	K9JIR2
RHCE	O43811
RHCE	Q0E5G3
RHCE	Q0E5G4
RHCE	Q0E5G5
RHCE	Q0E5G6
RHCE	Q0E5G7
RHCE	Q0E5G8
RHCE	Q0E5G9
RHCE	Q0E5H0
RHCE	Q0E5H1
RHCE	Q0KHB9
RHCE	Q1EL80
RHCE	Q2A683
RHCE	Q2A684
RHCE	Q2A685
RHCE	Q2MCP1
RHCE	Q2MCP2
RHCE	Q3ZV40
RHCE	Q5DVP9
RHCE	Q5DVQ0
RHCE	Q5NDM3
RHCE	Q5NDM4
RHCE	Q5NDM5
RHCE	Q5NDM6
RHCE	Q5VSJ7
RHCE	Q5VSJ8
RHCE	Q9UMH9
RHCE	Q9UP89
RHCE	Q9UP90
RHCE	Q9UP91
RHCE	S6FLM9
RHCE	V6EVT1
RHD	Q02161
RHD	A0A023W4F4
RHD	A0A023W596
RHD	A0A059XI04
RHD	A0A059XMR3
RHD	A0A068J745
RHD	A0A078BRP7
RHD	A0A078N210
RHD	A0A096ZG20
RHD	A0A098E5P3
RHD	A0A0A1CEV8
RHD	A0A0A1CJK9
RHD	A0A0A1TE45
RHD	A0A0A1TJK6
RHD	A0A0A1TSG7
RHD	A0A0A1TST1
RHD	A0A0A1TTP9
RHD	A0A0A8WEA9
RHD	A0A0A8WGH0
RHD	A0A0A8WIW4
RHD	A0A0D6EFI1
RHD	A0A0E4AYH7
RHD	A0A0E4FHS6
RHD	A0A0K0QNW0
RHD	A0A0K0QP18
RHD	A0A0K0QP22
RHD	A0A0K0QP25
RHD	A0A0K0QPX0
RHD	A0A0P1IVP9
RHD	A0A0P1IVQ0
RHD	A0A0P1IVV5
RHD	A0A0S1Z226
RHD	A0A0U5KVZ8
RHD	A0A120HTJ0
RHD	A0A140FA43
RHD	A0A140FA44
RHD	A0A140H959
RHD	A0A140H960
RHD	A0A140H961
RHD	A0A140H962
RHD	A0A140H963
RHD	A0A140H964
RHD	A0A140H965
RHD	A0A140H966
RHD	A0A140H968
RHD	A0A140H969
RHD	A0A140H970
RHD	A0A140H971
RHD	A0A140H972
RHD	A0A140H973
RHD	A0A140H9G4
RHD	A0A142DDY4
RHD	A0A161I057
RHD	A0A161IHP0
RHD	A0A168DYK5
RHD	A0A168DYM0
RHD	A0A181C4Y8
RHD	A0A193DUF0
RHD	A0A193L2Y3
RHD	A0A1A9C795
RHD	A0A1A9C7Q9
RHD	A0A1A9C8M5
RHD	A0A1A9C8T4
RHD	A0A1B1R0Y1
RHD	A0A1B3TP62
RHD	A0A1B3TP94
RHD	A0A1B3TPB5
RHD	A0A1B3TPB8
RHD	A0A1B3TPB9
RHD	A0A1C3MVZ2
RHD	A0A1C9FQS2
RHD	A0A1D8QM54
RHD	A0A1J0CQB1
RHD	A0A1L3H060
RHD	A0A1L3H061
RHD	A0A1L3H062
RHD	A0A1L3H065
RHD	A0A1L3H066
RHD	A0A1L3H067
RHD	A0A1L3H068
RHD	A0A1L3H071
RHD	A0A1L3H072
RHD	A0A1L3H073
RHD	A0A1L3H074
RHD	A0A1P8J804
RHD	A0A1P8P1T5
RHD	A0A1P8P1T7
RHD	A0A1P8P1U7
RHD	A0A1S6WMA9
RHD	A0A1U9WYX8
RHD	A0A1U9WYY4
RHD	A0A1U9WYZ0
RHD	A0A1U9WYZ1
RHD	A0A1U9WYZ6
RHD	A0A1U9WYZ8
RHD	A0A1U9WZ05
RHD	A0A1X9Q216
RHD	A0A1Z1VMX4
RHD	A0A1Z2RTW8
RHD	A0A220K802
RHD	A0A221C5N7
RHD	A0A221C5S3
RHD	A0A221C5T5
RHD	A0A221C5V8
RHD	A0A221C649
RHD	A0A221J652
RHD	A0A221LEJ2
RHD	A0A221LEJ3
RHD	A0A221LEJ4
RHD	A0A221LEK2
RHD	A0A290WK22
RHD	A0A290YV47
RHD	A0A290YV79
RHD	A0A2D1LVN8
RHD	A0A2D1LVQ3
RHD	A0A2D1LVQ6
RHD	A0A2K9YW35
RHD	A0A2L0A445
RHD	A0A2P1EPT5
RHD	A0A2P1EPT7
RHD	A0A2P1EPV2
RHD	A0A2P1EPV4
RHD	A0A2P1EPV6
RHD	A0A2P1M8C3
RHD	A0A2S0DVE8
RHD	A0A2S1B5H4
RHD	A0A330PKA5
RHD	A0A330PLB4
RHD	A0A346LVX3
RHD	A0A385I4J5
RHD	A0A386IQC0
RHD	A0A386IQC5
RHD	A0A386QWJ7
RHD	A0A3B0MQP0
RHD	A0A3B3IU43
RHD	A0A3B8E304
RHD	A0A3G2LNN1
RHD	A0A3G2LNR6
RHD	A0A3G2SV85
RHD	A0A3P3YW51
RHD	A0A3Q8BT41
RHD	A0A3S6CTX0
RHD	A0A411PBS5
RHD	A0A481S6S2
RHD	A0A481S7G5
RHD	A0A482ICT8
RHD	A0A484HK63
RHD	A0A4D6C5N2
RHD	A0A4D6C5S1
RHD	A0A4D6C6K0
RHD	A0A4D6C768
RHD	A0A4D6C7J7
RHD	A0A4D6U7V5
RHD	A0A4P8VSN6
RHD	A0A4P8VTG8
RHD	A0A4P8VUA8
RHD	A0A4P8VUA9
RHD	A0A4P8VUI6
RHD	A0A4P8VVB1
RHD	A0A4V1FUG5
RHD	A0A5J6CHI5
RHD	A0A5J6CHS0
RHD	A0A5P8H4X5
RHD	A0A6B9J9L3
RHD	A0A6B9JLX6
RHD	A0A6C6XEK8
RHD	A0A6C6XEP2
RHD	A0A6G6XEJ6
RHD	A0A6G7PSJ9
RHD	A0A6H0DTB6
RHD	A0A6H0DUH7
RHD	A0A6H0DUL2
RHD	A0A6H0DUU7
RHD	A0A6M6AM31
RHD	A0A6M6AM72
RHD	A0A6M6R1S6
RHD	A0A6M8PVC3
RHD	A0A6M8Q9Q3
RHD	A0A7D5DU89
RHD	A0A7D5DUN9
RHD	A0A7D5DVX0
RHD	A0A7D5DWA5
RHD	A0A7D5DXI5
RHD	A0A7G8KPK5
RHD	A0A7G8KPK6
RHD	A0A7G8KPK7
RHD	A0A7G8KPK9
RHD	A0A7G8KPL3
RHD	A0A7G8KPL4
RHD	A0A7G9KWD8
RHD	A0A7G9KWE0
RHD	A0A7G9KWE2
RHD	A0A7G9KWE5
RHD	A0A7G9KWE6
RHD	A0A7G9KWE9
RHD	A0A7G9KWF0
RHD	A0A7G9KWF1
RHD	A0A7G9U7H5
RHD	A0A7G9U7H6
RHD	A0A7G9U7H7
RHD	A0A7G9U7H8
RHD	A0A7G9U7H9
RHD	A0A7G9U7I0
RHD	A0A7G9ZDP1
RHD	A0A7G9ZDP3
RHD	A0A7H0RP35
RHD	A0A7H0RP36
RHD	A0A7H0RP37
RHD	A0A7H0RP38
RHD	A0A7H0RP41
RHD	A0A7H0RP42
RHD	A0A7H0RP43
RHD	A0A7H0RP44
RHD	A0A7H0RP45
RHD	A0A7H0RP49
RHD	A0A7H0RP50
RHD	A0A7H0RP51
RHD	A0A7H0RP52
RHD	A0A7H1D329
RHD	A0A7H1DHN5
RHD	A0A7H1DHN8
RHD	A0A7H1MH87
RHD	A0FIL3
RHD	A4VAS2
RHD	A5PHJ8
RHD	A6PZ59
RHD	A6PZ60
RHD	A6PZ61
RHD	A7DW67
RHD	A7J389
RHD	A7Y8S3
RHD	A8YPG4
RHD	A8YPS3
RHD	A8YPS4
RHD	A9JPG7
RHD	A9P3S3
RHD	A9P3T0
RHD	A9P3T1
RHD	A9P3T2
RHD	A9P3T3
RHD	A9P3T5
RHD	A9P3T6
RHD	A9P3T7
RHD	A9P3T8
RHD	A9P3U0
RHD	B0B3T3
RHD	B0B3T4
RHD	B0JE64
RHD	B0JEG1
RHD	B1PWD9
RHD	B2BHH4
RHD	B2L5V2
RHD	B2ZGP8
RHD	B2ZGP9
RHD	B2ZGQ0
RHD	B4F4R6
RHD	B4F4R9
RHD	B4F4S0
RHD	B4F4S1
RHD	B4F4S2
RHD	B4F4S3
RHD	B4F4S4
RHD	B4F4S5
RHD	B4F4S6
RHD	B4F4S7
RHD	B4F4S8
RHD	B5KN93
RHD	B5MEI6
RHD	B5RHP0
RHD	B6ETL3
RHD	B6ETL4
RHD	B6ETP8
RHD	B6ETQ6
RHD	B6ETQ7
RHCE,RHD	B6ZCF7
RHD	B8Q0B6
RHD	B8Q0B7
RHD	B8Q0B8
RHD	D0AB01
RHD	D0AB02
RHD	D1H0P2
RHD	D1H102
RHD	D2CRG8
RHD	D2CRH0
RHD	D2CRH1
RHD	D2CYW7
RHD	D2CYW8
RHD	D2CYW9
RHD	D6Q1S7
RHD	D7GNB0
RHD	D7GNB2
RHD	D8MJ84
RHD	D8MJ86
RHD	D8MJ87
RHD	E1Y6M6
RHD	E5BCZ9
RHD	E7BAS3
RHD	E7BAS4
RHD	E7BAS5
RHD	E7BAS6
RHD	E7EVW1
RHD	F2RM72
RHD	G0TQY3
RHD	G1AUC2
RHD	G4XIC4
RHD	G4XIC5
RHD	G4XIC6
RHD	G4XIC7
RHD	G4XIC8
RHD	G4XIC9
RHD	G4XID0
RHD	G4XID1
RHD	G4XMV9
RHD	G8FL61
RHD	G8YY11
RHD	G8YY12
RHD	G8YY13
RHD	G8YY14
RHD	H2DQF5
RHD	H2DQF6
RHD	H2ETA0
RHD	H3BT10
RHD	H6SH95
RHD	H8WR07
RHD	H8WR09
RHD	H8WR10
RHD	H8WR11
RHD	H8WR12
RHD	I0CKF7
RHD	I0CKF8
RHD	I0CKG0
RHD	I0CKG2
RHD	I0CKG3
RHD	I0CKG4
RHD	I0CKG6
RHD	I0CKG7
RHD	I2HA00
RHD	I2HA01
RHD	I3W8M7
RHD	I6UL51
RHD	I7JB64
RHD	I7JSY2
RHD	I7KDN9
RHD	I7L571
RHD	I7LL22
RHD	I7LNF1
RHD	I7LP06
RHD	J7GUD8
RHD	J7GY11
RHD	J7H0H3
RHD	J7IF04
RHD	J7IJ78
RHD	J7ILZ7
RHD	J7JLB9
RHD	K4MWK1
RHD	K4RNB6
RHD	K4RNV5
RHD	K4RNY0
RHD	K4UI15
RHD	K4UNQ7
RHD	K4UQ06
RHD	K4UQ76
RHD	K8ES76
RHD	K8ESS1
RHD	K8FE51
RHD	L0RH38
RHD	L0RH60
RHD	L7SYG8
RHD	L8EB13
RHD	M4Q981
RHD	M4X2U0
RHD	M5FHF1
RHD	O75102
RHD	O75103
RHD	O75104
RHD	O75835
RHD	O75836
RHD	O95489
RHCE,RHD	P78522
RHD	Q05GI4
RHD	Q08GE1
RHD	Q0KG01
RHD	Q19A86
RHD	Q1KT12
RHD	Q1KT13
RHD	Q2A0N8
RHD	Q2P9N2
RHD	Q2PBC1
RHD	Q2UVE8
RHD	Q2UVE9
RHD	Q2YHU7
RHD	Q2YHU8
RHD	Q2YHU9
RHD	Q2YHV0
RHD	Q333A6
RHD	Q333X4
RHD	Q49IM5
RHD	Q49IM6
RHD	Q4EW05
RHCE,RHD	Q4EW06
RHD	Q4FE19
RHD	Q4FE20
RHD	Q59AE6
RHD	Q59AE7
RHD	Q5CCG6
RHD	Q5CCG7
RHD	Q5DVQ1
RHD	Q5DVQ2
RHD	Q5QPZ7
RHD	Q5QPZ8
RHD	Q5QPZ9
RHD	Q5XLS8
RHD	Q5XLT0
RHD	Q5XLT3
RHD	Q6A1H1
RHD	Q6A1H2
RHD	Q6A1H3
RHD	Q6A1H4
RHD	Q6KC49
RHD	Q6Y8J3
RHD	Q70E14
RHD	Q70E15
RHD	Q70E16
RHD	Q70E17
RHD	Q70HW2
RHD	Q70P87
RHD	Q70VV1
RHD	Q7LGF4
RHD	Q7RU08
RHD	Q86SJ7
RHD	Q86SN4
RHCE,RHD	Q86SN5
RHD	Q86UI2
RHD	Q86UI3
RHD	Q86UI4
RHD	Q8IUC5
RHCE,RHD	Q8NDV4
RHD	Q8NDV5
RHD	Q8NFY1
RHCE,RHD	Q8NFY2
RHD	Q8WWL0
RHD	Q96KN0
RHD	Q96KU1
RHD	Q96KU2
RHD	Q96QG8
RHD	Q99673
RHD	Q99906
RHD	Q9H248
RHD	Q9H4C7
RHD	Q9HCC3
RHD	Q9NXY8
RHD	Q9UDZ3
RHD	Q9UDZ4
RHD	Q9UDZ5
RHCE,RHD	Q9UEC6
RHCE,RHD	Q9UEC7
RHD	Q9UPC8
RHD	R4I4U8
RHD	S5VXN0
RHD	S6EY87
RHD	S6FLQ0
RHD	T2DJN4
RHD	T2DKY0
RHD	T2DL33
RHD	T2DL93
RHD	T2DL95
RHD	T2DLL5
RHD	T2LKG5
RHCE,RHD	T2LL58
RHD	T2LLM0
RHD	T2LLM2
RHD	T2LLP2
RHD	U5U1V4
RHD	U5U2J9
RHD	U6Q0X6
RHD	W6AWA2
RHD	W6AWA7
RHCE,RHD	W6AWB5
RHD	W6AWK9
RHD	W6AWL4
RHD	W6AWL8
RHD	W6AX83
RHD	W6B6A7
RHD	W6B6B2
RHD	W6PPJ2
RHD	W6S1I0
RNF186	Q9NXI6
RNF207	Q6ZRF8
RNF223	E7ERA6
RPL11	P62913
RPL11	A0A2R8Y447
RPL11	Q5VVC8
RPL11	Q5VVD0
RPL22	P35268
RPL22	K7EJT5
RPL22	K7ELC4
RPL22	K7EMH1
RPL22	K7EP65
RPL22	K7ERI7
RPL22	L8E9H0
RPL22	Q8WYP0
RPL22	Q9BYF5
RPS6KA1	Q15418
RPS6KA1	A6NND1
RPS6KA1	E9PAN7
RPS6KA1	E9PGT3
RPS6KA1	E9PMM7
RPS6KA1	E9PPC1
RPS6KA1	E9PPN6
RPS6KA1	Q5SVM6
RPS6KA1	Q5SVM7
RSC1A1	Q92681
RSRP1	Q9BUV0
RSRP1	H3BMN1
RSRP1	H3BMX3
RSRP1	H3BP33
RSRP1	H3BT33
RSRP1	H3BTJ0
RSRP1	H3BVB7
RUNX3	Q13761
RUNX3	A0A024RAH4
SAMD11	Q96NU1
SAMD11	A0A087WX24
SAMD11	A0A087WXB3
SAMD11	A0A087WYU3
SAMD11	A0A087WYW1
SAMD11	A0A087X1J5
SAMD11	A0A087X223
SAMD11	A0A087X2A3
SAMD11	A6PWC8
SAMD11	H7BY14
SAMD11	H7C3J6
SAMD11	I7F465
SAMD11	I7F467
SAMD11	I7F472
SAMD11	I7F475
SAMD11	I7F478
SAMD11	I7F482
SAMD11	I7F489
SAMD11	I7F491
SAMD11	I7FC27
SAMD11	I7FC29
SAMD11	I7FC33
SAMD11	I7FC38
SAMD11	I7FC40
SAMD11	I7FC44
SAMD11	I7FC47
SAMD11	I7FC51
SAMD11	I7FV85
SAMD11	I7FV88
SAMD11	I7FV90
SAMD11	I7FV93
SAMD11	I7FV95
SAMD11	I7FV97
SAMD11	I7G0Z8
SAMD11	I7G100
SAMD11	I7G101
SAMD11	I7G103
SAMD11	I7G105
SAMD11	I7G276
SAMD11	I7G277
SAMD11	I7G279
SAMD11	I7G283
SAMD11	I7G285
SAMD11	I7G289
SAMD11	I7G291
SAMD11	I7G293
SAMD11	Q5SV95
SCNN1D	P51172
SCNN1D	A0A024R0D5
SCNN1D	C9JDY8
SCNN1D	F8VWH5
SCNN1D	H0Y3F1
SCNN1D	I6L9J9
SCNN1D	Q09HT1
SDF4	Q9BRK5
SDF4	A0A024R084
SDF4	A0A024R0A9
SDF4	A0A5F9UJX7
SDF4	A0A5F9UP49
SDF4	G3V1E2
SDF4	H0Y3T6
SDHB	P21912
SDHB	A0A087WWT1
SDHB	A0A087WXX8
SDHB	Q70SX8
SELENON	Q9NZV5
SELENON	A0A0D9SGI9
SELENON	H9KV50
SFN	P31947
SFN	Q9Y3B8
SH2D5	Q6ZV89
SH2D5	E5RGJ3
SH2D5	E5RGV2
SH2D5	E5RJW5
SH2D5	J3KQT6
SH3BGRL3	Q9H299
SH3BGRL3	D3DPK5
SH3BGRL3	Q5T123
SKI	P12755
SKI	Q7Z459
SKI	Q7Z461
SKI	Q7Z462
SLC25A33	Q9BSK2
SLC25A34	Q6PIV7
SLC2A5	P22732
SLC2A5	K7EIT1
SLC2A5	K7EJR1
SLC2A5	K7EJZ0
SLC2A5	K7EQI3
SLC2A5	L8E9T0
SLC2A7	Q6PXP3
SLC30A2	Q9BRI3
SLC35E2A	P0CK97
SLC35E2B	P0CK96
SLC35E2B	A0A087WUK8
SLC35E2B	L8E7I2
SLC45A1	Q9Y2W3
SLC45A1	A0A2H2EQP0
SLC66A1	Q6ZP29
SLC66A1	A2A2E6
SLC66A1	E9PJZ6
SLC66A1	E9PL93
SLC9A1	P19634
SLC9A1	B1ALD5
SMIM1	B2RUZ4
SMIM1	A0A223AMS5
SMIM1	A0A2R8Y7R4
SMIM1	A0A5Q0LQ04
SMIM1	H3BS66
SMIM1	M4WDD3
SMIM1	N1IRL5
SPATA21	Q7Z572
SPATA21	H7C5T0
SPATA21	Q5VXG6
SPEN	Q96T58
SPEN	A0A669KB49
SPEN	F6WRY4
SPEN	H0Y5U7
SPSB1	Q96BD6
SPSB1	A0A024R4G8
SPSB1	A2A276
SRARP	Q8NEQ6
SRM	P19623
SRM	K7EKM4
SRM	K7EL89
SRM	K7EQ47
SRM	K7ESL0
SRRM1	Q8IYB3
SRRM1	A0A0S2Z4W1
SRRM1	A0A0S2Z4Z6
SRRM1	A9Z1X7
SRRM1	E9PCT1
SRRM1	M0QXG5
SRRM1	M0R088
SRRM1	M0R1E7
SRSF10	O75494
SRSF10	A0A0S2Z504
SRSF10	Q5JRI1
SRSF10	Q6IQ42
SRSF10	R4GMP8
SSU72	Q9NP77
STMN1	P16949
STMN1	A2A2D0
STMN1	B5BU83
STMN1	Q96CE4
STPG1	Q5TH74
STPG1	H0Y4J3
STPG1	Q5TH77
SYF2	O95926
SYTL1	Q8IYJ3
SYTL1	A0A087X1N4
SYTL1	Q5SSC6
SZRD1	Q7Z422
SZRD1	F8WDF4
TARDBP	Q13148
TARDBP	A0A024R4E2
TARDBP	A0A087WTG4
TARDBP	A0A087WV68
TARDBP	A0A087WVX6
TARDBP	A0A087WW61
TARDBP	A0A087WX29
TARDBP	A0A087WX67
TARDBP	A0A087WXQ5
TARDBP	A0A087WXV3
TARDBP	A0A087WYY0
TARDBP	A0A087WZC9
TARDBP	A0A087WZM1
TARDBP	A0A087X260
TARDBP	A0A0A0MSV7
TARDBP	A0A0A0N0M3
TARDBP	A0A1W2PNU8
TARDBP	B1AKP7
TARDBP	G3V162
TARDBP	K7EJ99
TARDBP	K7EJM5
TARDBP	K7EL26
TARDBP	K7EN94
TARDBP	K7ENM9
TARDBP	Q9H256
TAS1R1	Q7RTX1
TAS1R1	H0Y6X0
TAS1R1	H7C3W7
TAS1R2	Q8TE23
TAS1R3	Q7RTX0
TCEA3	O75764
TCEA3	S4R3M9
TCEA3	S4R419
TENT5B	Q96A09
TEX46	H3BTG2
TEX46	A0A0D9SG37
TEX46	A0A0D9SG83
THAP3	Q8WTV1
THAP3	K7EIZ2
THAP3	R4GNH0
TMCO4	Q5TGY1
TMCO4	A0A024RA95
TMCO4	A0A024RAA3
TMCO4	A0A024RAD2
TMCO4	A0A075B6H3
TMEM201	Q5SNT2
TMEM201	H0Y4R5
TMEM201	H0Y994
TMEM222	Q9H0R3
TMEM222	H0Y861
TMEM222	H0Y870
TMEM222	H0Y8D0
TMEM222	H7C5C5
TMEM222	Q5SSC2
TMEM222	Q8TDQ4
TMEM240	Q5SV17
TMEM240	A0A096LNN7
TMEM50A	O95807
TMEM50A	Q7RU07
TMEM51	Q9NW97
TMEM51	A0A024QZ97
TMEM51	B1AP03
TMEM51	Q9BSA0
TMEM52	Q8NDY8
TMEM52	B1AKR2
TMEM52	B1AKR3
TMEM52	R4GMU3
TMEM82	A0PJX8
TMEM88B	A6NKF7
TNFRSF14	Q92956
TNFRSF14	A0A024R052
TNFRSF14	A0A0D9SF52
TNFRSF14	B9A034
TNFRSF14	F6Q0M4
TNFRSF14	F6UPZ7
TNFRSF18	Q9Y5U5
TNFRSF18	A0A0R7FDM1
TNFRSF18	A8WFP4
TNFRSF18	J3KT02
TNFRSF1B	P20333
TNFRSF1B	A0A0K1RN68
TNFRSF1B	B5A977
TNFRSF1B	Q8IVS6
TNFRSF25	Q93038
TNFRSF25	A0A0C4DGF3
TNFRSF25	A0A3B3ISD9
TNFRSF25	A5LIN1
TNFRSF25	K7EJY9
TNFRSF4	P43489
TNFRSF4	A0A024R0B2
TNFRSF8	P28908
TNFRSF8	A5D8T4
TNFRSF8	D6RAG8
TNFRSF8	Q6GMU3
TNFRSF9	Q07011
TNFRSF9	A0A6I8PRR4
TNFRSF9	K7EJ11
TNFRSF9	K7EJQ2
TP73	O15350
TP73	A0A0C4DFW9
TP73	A1PQX5
TP73	Q8WXG0
TPRG1L	Q5T0D9
TRIM63	Q969Q1
TRNP1	Q6NT89
TRNP1	H0YES3
TTC34	A8MYJ7
TTC34	A0A1C7CYW7
TTLL10	Q6ZVT0
TTLL10	A0A669K9N4
TTLL10	J3QRK8
UBE2J2	Q8N2K1
UBE2J2	A0A024R075
UBE2J2	A6NGS0
UBE2J2	B1AMF0
UBE2J2	B1AMF1
UBE2J2	D6R9H0
UBE2J2	D6RA15
UBE2J2	D6RB84
UBE2J2	D6RC43
UBE2J2	D6RD90
UBE2J2	D6REN4
UBE4B	O95155
UBE4B	B1AQ61
UBE4B	K7EP75
UBE4B	K7ERA7
UBIAD1	Q9Y5Z9
UBIAD1	R4GN21
